,date,close,code,ind_code
29,2023-02-20,10245.0,NR,2
30,2023-02-21,10265.0,NR,2
31,2023-02-22,10270.0,NR,2
32,2023-02-23,10325.0,NR,2
33,2023-02-24,10320.0,NR,2
34,2023-02-27,10215.0,NR,2
35,2023-02-28,10230.0,NR,2
36,2023-03-01,10350.0,NR,2
37,2023-03-02,10390.0,NR,2
38,2023-03-03,10350.0,NR,2
39,2023-03-06,10235.0,NR,2
40,2023-03-07,10195.0,NR,2
41,2023-03-08,10090.0,NR,2
42,2023-03-09,9975.0,NR,2
43,2023-03-10,9830.0,NR,2
44,2023-03-13,9770.0,NR,2
45,2023-03-14,9700.0,NR,2
46,2023-03-15,9695.0,NR,2
47,2023-03-16,9365.0,NR,2
48,2023-03-17,9495.0,NR,2
49,2023-03-20,9515.0,NR,2
50,2023-03-21,9530.0,NR,2
51,2023-03-22,9540.0,NR,2
52,2023-03-23,9460.0,NR,2
53,2023-03-24,9475.0,NR,2
54,2023-03-27,9615.0,NR,2
55,2023-03-28,9650.0,NR,2
56,2023-03-29,9610.0,NR,2
57,2023-03-30,9645.0,NR,2
58,2023-03-31,9685.0,NR,2
59,2023-04-03,9690.0,NR,2
60,2023-04-04,9570.0,NR,2
61,2023-04-06,9485.0,NR,2
62,2023-04-07,9455.0,NR,2
63,2023-04-10,9490.0,NR,2
64,2023-04-11,9530.0,NR,2
65,2023-04-12,9555.0,NR,2
66,2023-04-13,9525.0,NR,2
67,2023-04-14,9480.0,NR,2
68,2023-04-17,9715.0,NR,2
69,2023-04-18,9700.0,NR,2
70,2023-04-19,9780.0,NR,2
71,2023-04-20,9810.0,NR,2
72,2023-04-21,9680.0,NR,2
73,2023-04-24,9490.0,NR,2
74,2023-04-25,9735.0,NR,2
75,2023-04-26,9750.0,NR,2
76,2023-04-27,9570.0,NR,2
77,2023-04-28,9620.0,NR,2
78,2023-05-04,9620.0,NR,2
79,2023-05-05,9560.0,NR,2
80,2023-05-08,9775.0,NR,2
81,2023-05-09,9705.0,NR,2
82,2023-05-10,9595.0,NR,2
83,2023-05-11,9425.0,NR,2
