,roll_yield,near_by,deferred,date
SR,-0.10923600266279361,SR109,SR201,2021-06-03
B,-0.10053268354768097,b2107,b2108,2021-06-03
MA,-0.06883444109775651,MA109,MA201,2021-06-03
AP,-0.06646922329375099,AP110,AP201,2021-06-03
PF,-0.06284558517627227,PF107,PF109,2021-06-03
CF,-0.06260934289736214,CF109,CF201,2021-06-03
PB,-0.05866070016146481,PB2107,PB2108,2021-06-03
LU,-0.05326240435230822,LU2108,LU2109,2021-06-03
SM,-0.04954845749244245,SM108,SM109,2021-06-03
TA,-0.04710840598400145,TA109,TA201,2021-06-03
RR,-0.038867901024861866,rr2108,rr2110,2021-06-03
CU,-0.03773846003622966,CU2107,CU2108,2021-06-03
AG,-0.03551246234731602,AG2109,AG2112,2021-06-03
SP,-0.0336912528520898,SP2107,SP2109,2021-06-03
A,-0.021383136760494723,a2109,a2111,2021-06-03
BC,-0.020303011841642654,BC2107,BC2108,2021-06-03
PK,-0.012695904330222864,PK110,PK201,2021-06-03
AU,-0.011946334923655978,AU2108,AU2112,2021-06-03
M,-0.0008322929724627612,m2109,m2201,2021-06-03
FU,0.0011483253728722873,FU2109,FU2201,2021-06-03
SF,0.0021173980410808422,SF109,SF201,2021-06-03
AL,0.006514658140459841,AL2107,AL2108,2021-06-03
CS,0.007490637677029337,cs2107,cs2109,2021-06-03
ZN,0.007866273634683946,ZN2107,ZN2108,2021-06-03
EG,0.010770921412504873,eg2109,eg2111,2021-06-03
TS,0.012343230977119521,TS2106,TS2109,2021-06-03
TF,0.01322513979027157,TF2109,TF2112,2021-06-03
PG,0.01359157467760009,pg2107,pg2108,2021-06-03
T,0.013859886478297796,T2109,T2112,2021-06-03
NI,0.02616640760082071,NI2107,NI2108,2021-06-03
PP,0.033000558850167165,pp2109,pp2110,2021-06-03
SN,0.034599901795978744,SN2107,SN2108,2021-06-03
L,0.03844924788939617,l2109,l2110,2021-06-03
IF,0.06441561559325944,IF2106,IF2109,2021-06-03
SC,0.06983009857480063,SC2107,SC2108,2021-06-03
IH,0.0753419894071348,IH2106,IH2109,2021-06-03
RB,0.08242858655716771,RB2110,RB2201,2021-06-03
HC,0.08840138800266388,HC2110,HC2201,2021-06-03
C,0.10408085306931106,c2109,c2111,2021-06-03
IC,0.10424002670007904,IC2106,IC2109,2021-06-03
Y,0.10656766615878774,y2109,y2201,2021-06-03
J,0.11124955848690954,j2109,j2111,2021-06-03
WR,0.12105128241016909,WR2110,WR2205,2021-06-03
OI,0.12546162754912563,OI109,OI201,2021-06-03
LH,0.12616254299666277,lh2109,lh2201,2021-06-03
P,0.12963584280712775,p2109,p2201,2021-06-03
FG,0.1318767645062989,FG109,FG201,2021-06-03
V,0.14167084883513786,v2109,v2111,2021-06-03
JM,0.1422097273121213,jm2109,jm2111,2021-06-03
ZC,0.17676091589431325,ZC109,ZC201,2021-06-03
RM,0.18615377644182618,RM109,RM201,2021-06-03
EB,0.20881731602405962,eb2107,eb2108,2021-06-03
SS,0.21066371739493364,SS2107,SS2108,2021-06-03
RS,0.21916396109877148,RS107,RS109,2021-06-03
I,0.2732940665030414,i2109,i2203,2021-06-03
UR,0.28037887908618675,UR107,UR109,2021-06-03
JD,0.5877815045861898,jd2108,jd2109,2021-06-03
SC_TAS,,SC_TAS2107,SC_TAS2108,2021-06-03
BB,-1.3831807598795516,bb2106,bb2107,2021-06-04
CJ,-0.45905260569026896,CJ109,CJ201,2021-06-04
FB,-0.28854457733331995,fb2106,fb2109,2021-06-04
RU,-0.24038711210006383,RU2109,RU2201,2021-06-04
SA,-0.1865080414483644,SA109,SA201,2021-06-04
NR,-0.15894272100024867,NR2108,NR2109,2021-06-04
SR,-0.11542953851592594,SR109,SR201,2021-06-04
B,-0.11098345005193497,b2107,b2108,2021-06-04
BU,-0.08173361292390084,BU2109,BU2112,2021-06-04
LU,-0.07808368278463529,LU2108,LU2109,2021-06-04
MA,-0.07215013624538039,MA109,MA201,2021-06-04
SM,-0.06743312764107957,SM108,SM109,2021-06-04
PF,-0.06561216462033405,PF107,PF109,2021-06-04
PB,-0.06368174149114904,PB2107,PB2108,2021-06-04
CF,-0.058018027798356804,CF109,CF201,2021-06-04
TA,-0.05525480600156167,TA109,TA201,2021-06-04
CY,-0.05457547265216637,CY109,CY201,2021-06-04
AP,-0.044912308633461,AP110,AP201,2021-06-04
BC,-0.038046956412726075,BC2107,BC2108,2021-06-04
A,-0.03764319257061251,a2109,a2111,2021-06-04
AG,-0.03639957315283087,AG2109,AG2112,2021-06-04
CU,-0.03211043391947782,CU2107,CU2108,2021-06-04
PK,-0.02237321054604551,PK110,PK201,2021-06-04
RR,-0.016913322038803247,rr2108,rr2109,2021-06-04
PG,-0.016528928233140724,pg2107,pg2108,2021-06-04
SP,-0.015384623813625804,SP2107,SP2109,2021-06-04
AU,-0.00942359813658843,AU2108,AU2112,2021-06-04
M,-0.009320724910439929,m2109,m2201,2021-06-04
CS,-0.00760938592797089,cs2107,cs2109,2021-06-04
AL,0.006566347633063136,AL2107,AL2108,2021-06-04
ZN,0.007995558319123922,ZN2107,ZN2108,2021-06-04
FU,0.007998481218708092,FU2109,FU2201,2021-06-04
TF,0.011640166761389958,TF2109,TF2112,2021-06-04
T,0.012465843997444784,T2109,T2112,2021-06-04
TS,0.01732337127857319,TS2106,TS2109,2021-06-04
NI,0.023776871061972217,NI2107,NI2108,2021-06-04
EG,0.028725369050236736,eg2109,eg2111,2021-06-04
PP,0.02906274125835652,pp2109,pp2110,2021-06-04
SF,0.03248505419245186,SF109,SF201,2021-06-04
SN,0.03828693884826069,SN2107,SN2108,2021-06-04
L,0.05449247119507798,l2109,l2110,2021-06-04
IF,0.06690424846176385,IF2106,IF2109,2021-06-04
SC,0.07842281432530399,SC2107,SC2108,2021-06-04
IH,0.082565049256752,IH2106,IH2109,2021-06-04
HC,0.08781748061262862,HC2110,HC2201,2021-06-04
RS,0.08907465510768058,RS107,RS109,2021-06-04
WR,0.08987794532390227,WR2110,WR2205,2021-06-04
RB,0.0901733766393587,RB2110,RB2201,2021-06-04
C,0.09361259729382503,c2109,c2111,2021-06-04
J,0.09779584422898507,j2109,j2111,2021-06-04
LH,0.09821849088911143,lh2109,lh2201,2021-06-04
Y,0.09901888940450992,y2109,y2201,2021-06-04
IC,0.10809004072049419,IC2106,IC2109,2021-06-04
P,0.10924283896187102,p2109,p2201,2021-06-04
JM,0.11625414851547304,jm2109,jm2111,2021-06-04
OI,0.12794391733673294,OI109,OI201,2021-06-04
FG,0.14078493885604804,FG109,FG201,2021-06-04
V,0.14558773199778724,v2109,v2111,2021-06-04
ZC,0.15667932347776667,ZC109,ZC201,2021-06-04
RM,0.1649286268437231,RM109,RM201,2021-06-04
SS,0.16723654239078647,SS2107,SS2108,2021-06-04
UR,0.18739811813958823,UR107,UR109,2021-06-04
EB,0.22489158402916107,eb2107,eb2108,2021-06-04
I,0.2630323725999163,i2109,i2203,2021-06-04
JD,0.46823188277330935,jd2108,jd2109,2021-06-04
SC_TAS,,SC_TAS2107,SC_TAS2108,2021-06-04
BB,-1.3831807598795516,bb2106,bb2107,2021-06-07
CJ,-0.41274210055716415,CJ109,CJ201,2021-06-07
FB,-0.34606971142538545,fb2106,fb2109,2021-06-07
RU,-0.2540443571287922,RU2109,RU2201,2021-06-07
SA,-0.20617313721074787,SA109,SA201,2021-06-07
NR,-0.20074817607367848,NR2108,NR2109,2021-06-07
B,-0.12724315499018846,b2107,b2108,2021-06-07
SR,-0.12255338214200157,SR109,SR201,2021-06-07
BU,-0.09591606199801012,BU2109,BU2112,2021-06-07
LU,-0.08945918872793804,LU2108,LU2109,2021-06-07
MA,-0.07392820064112364,MA109,MA201,2021-06-07
PB,-0.06805689634778336,PB2107,PB2108,2021-06-07
TA,-0.06506740284475279,TA109,TA201,2021-06-07
CF,-0.06193526198747315,CF109,CF201,2021-06-07
PF,-0.057483383506042776,PF107,PF109,2021-06-07
PK,-0.05411200679217851,PK110,PK201,2021-06-07
PG,-0.05039671429736585,pg2107,pg2108,2021-06-07
SM,-0.04914263330767349,SM108,SM109,2021-06-07
AP,-0.04625794127010638,AP110,AP201,2021-06-07
RR,-0.04399948519916737,rr2108,rr2109,2021-06-07
AG,-0.035417266981945125,AG2109,AG2112,2021-06-07
EG,-0.031052755370474444,eg2109,eg2111,2021-06-07
CS,-0.03060255279395303,cs2107,cs2109,2021-06-07
CU,-0.030218258833644217,CU2107,CU2108,2021-06-07
A,-0.02836405755000522,a2109,a2111,2021-06-07
BC,-0.026431728748106197,BC2107,BC2108,2021-06-07
AU,-0.01764756904472319,AU2108,AU2112,2021-06-07
SP,-0.009616927848241478,SP2107,SP2109,2021-06-07
M,0.0008283860331525536,m2109,m2201,2021-06-07
FU,0.001158972392239442,FU2109,FU2201,2021-06-07
ZN,0.0026776748967518487,ZN2107,ZN2108,2021-06-07
AL,0.00651112332849068,AL2107,AL2108,2021-06-07
NI,0.008340734783796926,NI2107,NI2108,2021-06-07
T,0.012902246037895203,T2109,T2112,2021-06-07
TF,0.013063040725453702,TF2109,TF2112,2021-06-07
TS,0.01951903489816396,TS2106,TS2109,2021-06-07
SF,0.02088175484287184,SF109,SF201,2021-06-07
PP,0.028153374647256754,pp2109,pp2110,2021-06-07
SN,0.030714724388173735,SN2107,SN2108,2021-06-07
WR,0.04132529279655914,WR2110,WR2205,2021-06-07
L,0.055721493155452884,l2109,l2110,2021-06-07
LH,0.06359057163038397,lh2109,lh2201,2021-06-07
IF,0.06589177499436676,IF2106,IF2109,2021-06-07
C,0.07589386902372591,c2109,c2111,2021-06-07
Y,0.07897857397121427,y2109,y2201,2021-06-07
RB,0.08148580833292354,RB2110,RB2201,2021-06-07
IH,0.08346055385584715,IH2106,IH2109,2021-06-07
SC,0.08430629577260909,SC2107,SC2108,2021-06-07
UR,0.08500142162844562,UR107,UR109,2021-06-07
HC,0.08933756021155893,HC2110,HC2201,2021-06-07
P,0.1034717456155393,p2109,p2201,2021-06-07
J,0.10778370375002438,j2109,j2111,2021-06-07
OI,0.1120969396381484,OI109,OI201,2021-06-07
IC,0.11449340681069692,IC2106,IC2109,2021-06-07
FG,0.12346462826647045,FG109,FG201,2021-06-07
V,0.1237886524811054,v2109,v2111,2021-06-07
SS,0.13598979921371904,SS2107,SS2108,2021-06-07
EB,0.1491751355460417,eb2107,eb2108,2021-06-07
JM,0.1670289217385067,jm2109,jm2111,2021-06-07
ZC,0.17681689531166112,ZC109,ZC201,2021-06-07
RM,0.1980984895754238,RM109,RM201,2021-06-07
I,0.26757396736045436,i2109,i2203,2021-06-07
JD,0.4001613399419259,jd2108,jd2109,2021-06-07
