,roll_yield,near_by,deferred,date
FG,-0.012008021368972218,FG805,FG809,2018-01-12
TF,-0.011424721499703427,TF1803,TF1806,2018-01-12
ZN,-0.011379801706310934,ZN1802,ZN1803,2018-01-12
B,-0.010327032572918095,b1805,b1809,2018-01-12
IF,-0.0070896853339307035,IF1801,IF1803,2018-01-12
T,-0.003249830916746412,T1803,T1806,2018-01-12
WR,-0.0,WR1801,WR1802,2018-01-12
TA,0.006379585927980503,TA803,TA805,2018-01-12
M,0.014325096089255189,m1805,m1809,2018-01-12
SR,0.02002574830115327,SR805,SR809,2018-01-12
PP,0.03240916530072556,pp1805,pp1809,2018-01-12
C,0.04133435462917054,c1805,c1809,2018-01-12
L,0.05518425546911486,l1805,l1809,2018-01-12
IC,0.05631545117087161,IC1801,IC1803,2018-01-12
SF,0.07528625955763685,SF805,SF809,2018-01-12
J,0.07553269072891744,j1805,j1809,2018-01-12
HC,0.08026225672910806,HC1805,HC1810,2018-01-12
RB,0.10285902398912711,RB1805,RB1810,2018-01-12
JM,0.1147649880999671,jm1805,jm1809,2018-01-12
MA,0.12661858524923936,MA805,MA809,2018-01-12
AP,0.22099018097748682,AP805,AP810,2018-01-12
FB,0.2806736404589005,fb1802,fb1808,2018-01-12
SM,0.47197106615799944,SM801,SM805,2018-01-12
ZC,0.5268132206666861,ZC803,ZC805,2018-01-12
BB,0.7598525447236867,bb1802,bb1805,2018-01-12
FU,-1.6417542638578022,FU1803,FU1804,2018-01-15
JD,-0.3357632695349778,jd1805,jd1809,2018-01-15
OI,-0.11246782581561234,OI805,OI809,2018-01-15
I,-0.09358557023381513,i1805,i1809,2018-01-15
BU,-0.08369421987100101,BU1806,BU1812,2018-01-15
Y,-0.07229265473718158,y1805,y1809,2018-01-15
CF,-0.07177839974336343,CF805,CF809,2018-01-15
AL,-0.07159451134285005,AL1802,AL1803,2018-01-15
RU,-0.06064965852897618,RU1805,RU1809,2018-01-15
CS,-0.05563441774619916,cs1805,cs1809,2018-01-15
AG,-0.05477041173528566,AG1806,AG1812,2018-01-15
IH,-0.045087937205558856,IH1801,IH1803,2018-01-15
CU,-0.034966333245195276,CU1802,CU1803,2018-01-15
SN,-0.0320680501899427,SN1801,SN1805,2018-01-15
PB,-0.031233750064111818,PB1802,PB1803,2018-01-15
A,-0.030069329345440265,a1805,a1809,2018-01-15
V,-0.02849857017364187,v1805,v1809,2018-01-15
AU,-0.027814901267734823,AU1806,AU1812,2018-01-15
NI,-0.026883103667858316,NI1805,NI1807,2018-01-15
FG,-0.022184975049474278,FG805,FG809,2018-01-15
RM,-0.019758578558569967,RM805,RM809,2018-01-15
