underlying_symbol_x,underlying_symbol_y,settle_price_m,delisted_date_x,settle_price_sm,delisted_date_y,date,price_div_log,date_minus,factor
SHFE.NI,SHFE.NI,227130.0,2023-02-15 00:00:00+08:00,224210.0,2023-03-15 00:00:00+08:00,2023-01-03,0.012939428106944848,28,0.16636407566071948
SHFE.PB,SHFE.PB,15900.0,2023-02-15 00:00:00+08:00,15910.0,2023-03-15 00:00:00+08:00,2023-01-03,-0.0006287331235096053,28,-0.00808371158798064
SHFE.RB,SHFE.RB,4044.0,2023-05-15 00:00:00+08:00,4027.0,2023-10-16 00:00:00+08:00,2023-01-03,0.0042126192889079175,154,0.009847681454589937
SHFE.RU,SHFE.RU,12840.0,2023-05-15 00:00:00+08:00,12745.0,2023-09-15 00:00:00+08:00,2023-01-03,0.0074262604337363034,123,0.021735396391423325
SHFE.SN,SHFE.SN,208130.0,2023-02-15 00:00:00+08:00,208310.0,2023-03-15 00:00:00+08:00,2023-01-03,-0.0008644703256634259,28,-0.011114618472815476
SHFE.SP,SHFE.SP,6624.0,2023-05-15 00:00:00+08:00,6764.0,2023-03-15 00:00:00+08:00,2023-01-03,-0.020915013953375253,61,-0.12343286923303427
SHFE.SS,SHFE.SS,16660.0,2023-02-15 00:00:00+08:00,16685.0,2023-03-15 00:00:00+08:00,2023-01-03,-0.0014994754646407323,28,-0.019278970259666555
SHFE.WR,SHFE.WR,4778.0,2023-05-15 00:00:00+08:00,4655.0,2023-02-15 00:00:00+08:00,2023-01-03,0.026080138174587375,89,0.105492693739904
SHFE.ZN,SHFE.ZN,23420.0,2023-02-15 00:00:00+08:00,23395.0,2023-03-15 00:00:00+08:00,2023-01-03,0.0010680338513917539,28,0.013731863803608264
CZCE.AP,CZCE.AP,8330.0,2023-05-17 00:00:00+08:00,8595.0,2023-03-14 00:00:00+08:00,2023-01-04,-0.031317182656061295,64,-0.17615915244034477
CZCE.CF,CZCE.CF,14305.0,2023-05-17 00:00:00+08:00,14280.0,2023-03-14 00:00:00+08:00,2023-01-04,0.0017491695906352485,64,0.009839078947323273
CZCE.CJ,CZCE.CJ,10415.0,2023-05-17 00:00:00+08:00,10625.0,2023-09-14 00:00:00+08:00,2023-01-04,-0.019962640097545174,120,-0.059887920292635524
CZCE.CY,CZCE.CY,21715.0,2023-05-17 00:00:00+08:00,20925.0,2023-01-16 00:00:00+08:00,2023-01-04,0.03705864961124628,121,0.11025713933924514
CZCE.FG,CZCE.FG,1659.0,2023-05-17 00:00:00+08:00,1600.0,2023-03-14 00:00:00+08:00,2023-01-04,0.03621138196257188,64,0.2036890235394668
CZCE.JR,CZCE.JR,2758.0,2023-01-16 00:00:00+08:00,2662.0,2023-03-14 00:00:00+08:00,2023-01-04,0.035428059398190256,57,0.223756164620149
CZCE.LR,CZCE.LR,2360.0,2023-11-14 00:00:00+08:00,2360.0,2023-09-14 00:00:00+08:00,2023-01-04,0.0,61,0.0
CZCE.MA,CZCE.MA,2649.0,2023-05-17 00:00:00+08:00,2654.0,2023-03-14 00:00:00+08:00,2023-01-04,-0.001885725620083105,64,-0.010607206612967466
CZCE.OI,CZCE.OI,10650.0,2023-05-17 00:00:00+08:00,10934.0,2023-03-14 00:00:00+08:00,2023-01-04,-0.026317308317373417,64,-0.14803485928522547
CZCE.PF,CZCE.PF,7180.0,2023-03-14 00:00:00+08:00,7158.0,2023-02-14 00:00:00+08:00,2023-01-04,0.0030687707162987293,28,0.039455623495269376
CZCE.PK,CZCE.PK,10000.0,2023-04-17 00:00:00+08:00,10116.0,2023-10-20 00:00:00+08:00,2023-01-04,-0.011533235813673067,186,-0.022322391897431744
CZCE.PM,CZCE.PM,3122.0,2023-07-14 00:00:00+08:00,3043.0,2023-01-16 00:00:00+08:00,2023-01-04,0.025629951178406205,179,0.05154627052640354
CZCE.RI,CZCE.RI,2479.0,2023-01-16 00:00:00+08:00,2479.0,2023-03-14 00:00:00+08:00,2023-01-04,0.0,57,0.0
CZCE.RM,CZCE.RM,3201.0,2023-05-17 00:00:00+08:00,3178.0,2023-03-14 00:00:00+08:00,2023-01-04,0.00721119287320184,64,0.04056295991176035
CZCE.RS,CZCE.RS,6046.0,2023-11-14 00:00:00+08:00,5833.0,2023-07-14 00:00:00+08:00,2023-01-04,0.03586544858576573,123,0.10497204464126556
CZCE.SA,CZCE.SA,2768.0,2023-05-17 00:00:00+08:00,2943.0,2023-03-14 00:00:00+08:00,2023-01-04,-0.061304431495912595,64,-0.3448374271645083
CZCE.SF,CZCE.SF,8312.0,2023-03-14 00:00:00+08:00,8230.0,2023-05-17 00:00:00+08:00,2023-01-04,0.009914239107947748,64,0.055767594982206084
CZCE.SM,CZCE.SM,7558.0,2023-05-17 00:00:00+08:00,7578.0,2023-03-14 00:00:00+08:00,2023-01-04,-0.00264270766911178,64,-0.014865230638753764
CZCE.SR,CZCE.SR,5719.0,2023-03-14 00:00:00+08:00,5728.0,2023-05-17 00:00:00+08:00,2023-01-04,-0.001572464725165313,64,-0.008845114079054885
CZCE.TA,CZCE.TA,5464.0,2023-05-17 00:00:00+08:00,5468.0,2023-03-14 00:00:00+08:00,2023-01-04,-0.0007317965932142287,64,-0.004116355836830036
CZCE.UR,CZCE.UR,2565.0,2023-05-17 00:00:00+08:00,2655.0,2023-03-14 00:00:00+08:00,2023-01-04,-0.03448617607116932,64,-0.19398474040032743
CZCE.WH,CZCE.WH,3284.0,2023-03-14 00:00:00+08:00,3526.0,2023-01-16 00:00:00+08:00,2023-01-04,-0.07110189238549673,57,-0.4490645834873478
CZCE.ZC,CZCE.ZC,801.4,2023-07-07 00:00:00+08:00,801.4,2023-12-07 00:00:00+08:00,2023-01-04,0.0,153,0.0
DCE.A,DCE.A,5205.0,2023-05-17 00:00:00+08:00,5248.0,2023-03-14 00:00:00+08:00,2023-01-04,-0.008227349574855698,64,-0.0462788413585633
DCE.B,DCE.B,5160.0,2023-02-14 00:00:00+08:00,4967.0,2023-03-14 00:00:00+08:00,2023-01-04,0.038120543368257924,28,0.4901212718776019
DCE.BB,DCE.BB,400.0,2023-10-20 00:00:00+08:00,400.0,2023-09-14 00:00:00+08:00,2023-01-04,0.0,36,0.0
DCE.C,DCE.C,2863.0,2023-03-14 00:00:00+08:00,2860.0,2023-05-17 00:00:00+08:00,2023-01-04,0.001048401284216814,64,0.005897257223719579
DCE.CS,DCE.CS,3001.0,2023-03-14 00:00:00+08:00,3102.0,2023-05-17 00:00:00+08:00,2023-01-04,-0.03310149829611706,64,-0.18619592791565848
DCE.EB,DCE.EB,8458.0,2023-02-23 00:00:00+08:00,8474.0,2023-03-28 00:00:00+08:00,2023-01-04,-0.0018899131540706026,33,-0.020617234408042938
DCE.EG,DCE.EG,4167.0,2023-05-26 00:00:00+08:00,4104.0,2023-03-28 00:00:00+08:00,2023-01-04,0.015234244571847987,59,0.09295471264178432
DCE.FB,DCE.FB,1258.0,2023-03-14 00:00:00+08:00,1220.5,2023-02-14 00:00:00+08:00,2023-01-04,0.030262547427371105,28,0.38908989549477135
DCE.I,DCE.I,850.5,2023-05-17 00:00:00+08:00,828.0,2023-09-14 00:00:00+08:00,2023-01-04,0.02681125745065677,120,0.08043377235197031
DCE.J,DCE.J,2595.0,2023-05-17 00:00:00+08:00,2494.0,2023-09-14 00:00:00+08:00,2023-01-04,0.03969866936000722,120,0.11909600808002165
DCE.JD,DCE.JD,4313.0,2023-05-26 00:00:00+08:00,4020.0,2023-03-28 00:00:00+08:00,2023-01-04,0.07035181503477649,59,0.4292653120766023
DCE.JM,DCE.JM,1788.0,2023-05-17 00:00:00+08:00,1707.0,2023-09-14 00:00:00+08:00,2023-01-04,0.04636023293901883,120,0.13908069881705648
DCE.L,DCE.L,8131.0,2023-05-17 00:00:00+08:00,8118.0,2023-03-14 00:00:00+08:00,2023-01-04,0.0016000988089945175,64,0.00900055580059416
DCE.LH,DCE.LH,15695.0,2023-03-28 00:00:00+08:00,17260.0,2023-05-26 00:00:00+08:00,2023-01-04,-0.09504949536136502,59,-0.5799630225439221
DCE.M,DCE.M,3890.0,2023-05-17 00:00:00+08:00,4261.0,2023-03-14 00:00:00+08:00,2023-01-04,-0.09109471688741999,64,-0.5124077824917375
DCE.P,DCE.P,8236.0,2023-05-17 00:00:00+08:00,8140.0,2023-03-14 00:00:00+08:00,2023-01-04,0.011724609151094006,64,0.06595092647490378
DCE.PG,DCE.PG,4311.0,2023-02-23 00:00:00+08:00,4157.0,2023-03-28 00:00:00+08:00,2023-01-04,0.03637623549449727,33,0.3968316599399702
DCE.PP,DCE.PP,7810.0,2023-05-17 00:00:00+08:00,7779.0,2023-03-14 00:00:00+08:00,2023-01-04,0.0039771686269575255,64,0.02237157352663608
DCE.RR,DCE.RR,3374.0,2023-03-14 00:00:00+08:00,3367.0,2023-02-14 00:00:00+08:00,2023-01-04,0.002076843944839069,28,0.02670227929078803
DCE.V,DCE.V,6256.0,2023-05-17 00:00:00+08:00,6236.0,2023-03-14 00:00:00+08:00,2023-01-04,0.0032020520474798347,64,0.01801154276707407
DCE.Y,DCE.Y,8822.0,2023-05-17 00:00:00+08:00,9068.0,2023-03-14 00:00:00+08:00,2023-01-04,-0.027503130962534525,64,-0.1547051116642567
INE.BC,INE.BC,57950.0,2023-03-15 00:00:00+08:00,57780.0,2023-02-15 00:00:00+08:00,2023-01-04,0.002937874747671496,28,0.03777267532720495
