,underlying_symbol_y,settle_price_m,delisted_date_x,settle_price_sm,delisted_date_y,date,price_div_log,date_minus,factor
INE.NR,INE.NR,8790.0,2020-09-15 00:00:00+08:00,8690.0,2020-08-17 00:00:00+08:00,2020-06-12,0.01144177241978486,29.0,0.14203579555595
INE.SC,INE.SC,297.6,2020-08-31 00:00:00+08:00,284.7,2020-07-31 00:00:00+08:00,2020-06-12,0.044314308674945034,31.0,0.514617778160652
SHFE.AG,SHFE.AG,4324.0,2020-12-15 00:00:00+08:00,4305.0,2020-10-15 00:00:00+08:00,2020-06-12,0.004403761897267641,61.0,0.025989414475677885
SHFE.AL,SHFE.AL,13570.0,2020-07-15 00:00:00+08:00,13345.0,2020-08-17 00:00:00+08:00,2020-06-12,0.016719690990290272,33.0,0.1823966289849848
SHFE.AU,SHFE.AU,393.78,2020-12-15 00:00:00+08:00,393.16,2020-10-15 00:00:00+08:00,2020-06-12,0.001575724015257711,61.0,0.009299354844143869
SHFE.BU,SHFE.BU,2506.0,2020-12-15 00:00:00+08:00,2452.0,2020-09-15 00:00:00+08:00,2020-06-12,0.021783838399911548,91.0,0.08617782224140833
SHFE.CU,SHFE.CU,46690.0,2020-07-15 00:00:00+08:00,46600.0,2020-08-17 00:00:00+08:00,2020-06-12,0.0019294678512453815,33.0,0.02104874019540416
SHFE.FU,SHFE.FU,1663.0,2020-08-31 00:00:00+08:00,1848.0,2020-12-24 00:00:00+08:00,2020-06-12,-0.10548077300870183,115.0,-0.33020068072289266
SHFE.HC,SHFE.HC,3550.0,2020-10-15 00:00:00+08:00,3424.0,2021-01-15 00:00:00+08:00,2020-06-12,0.036138145207828785,92.0,0.14141013342193873
SHFE.NI,SHFE.NI,101530.0,2020-08-17 00:00:00+08:00,101730.0,2020-09-15 00:00:00+08:00,2020-06-12,-0.001967923492525584,29.0,-0.02442939507962794
SHFE.PB,SHFE.PB,14145.0,2020-07-15 00:00:00+08:00,14115.0,2020-08-17 00:00:00+08:00,2020-06-12,0.0021231430480777515,33.0,0.02316156052448456
SHFE.RB,SHFE.RB,3597.0,2020-10-15 00:00:00+08:00,3439.0,2021-01-15 00:00:00+08:00,2020-06-12,0.044919433263357636,92.0,0.175771695378356
SHFE.RU,SHFE.RU,10385.0,2020-09-15 00:00:00+08:00,11655.0,2021-01-15 00:00:00+08:00,2020-06-12,-0.11537281515964477,122.0,-0.3404443726022305
SHFE.SN,SHFE.SN,136540.0,2020-08-17 00:00:00+08:00,137440.0,2020-07-15 00:00:00+08:00,2020-06-12,-0.0065698462458109895,33.0,-0.0716710499543017
SHFE.SP,SHFE.SP,4400.0,2020-09-15 00:00:00+08:00,4530.0,2021-01-15 00:00:00+08:00,2020-06-12,-0.02911739857072721,122.0,-0.08592019250378521
SHFE.SS,SHFE.SS,12750.0,2020-08-17 00:00:00+08:00,12705.0,2020-09-15 00:00:00+08:00,2020-06-12,0.003535654832307797,29.0,0.0438908875734761
SHFE.WR,SHFE.WR,3869.0,2020-10-15 00:00:00+08:00,3915.0,2021-01-15 00:00:00+08:00,2020-06-12,-0.011819253724390553,92.0,-0.04624925370413695
SHFE.ZN,SHFE.ZN,16375.0,2020-07-15 00:00:00+08:00,16315.0,2020-08-17 00:00:00+08:00,2020-06-12,0.003670851476031719,33.0,0.04004565246580057
CZCE.AP,CZCE.AP,8271.0,2020-10-22 00:00:00+08:00,8237.0,2021-01-15 00:00:00+08:00,2020-06-15,0.0041192207506576435,85.0,0.01744611141455002
CZCE.CF,CZCE.CF,11835.0,2020-09-14 00:00:00+08:00,12355.0,2021-01-15 00:00:00+08:00,2020-06-15,-0.04299959647462615,123.0,-0.1258524774867107
CZCE.CJ,CZCE.CJ,10050.0,2020-09-14 00:00:00+08:00,10520.0,2021-01-15 00:00:00+08:00,2020-06-15,-0.04570557280447907,123.0,-0.13377240820823144
CZCE.CY,CZCE.CY,19315.0,2020-09-14 00:00:00+08:00,20005.0,2021-01-15 00:00:00+08:00,2020-06-15,-0.03510024619095369,123.0,-0.10273242787596203
CZCE.FG,CZCE.FG,1455.0,2020-09-14 00:00:00+08:00,1413.0,2021-01-15 00:00:00+08:00,2020-06-15,0.02929079692106544,123.0,0.08572916172019153
CZCE.JR,CZCE.JR,2788.0,2020-07-14 00:00:00+08:00,2799.0,2020-09-14 00:00:00+08:00,2020-06-15,-0.003937717635039062,62.0,-0.02286416691313003
CZCE.LR,CZCE.LR,2633.0,2020-07-14 00:00:00+08:00,,,2020-06-15,,,
CZCE.MA,CZCE.MA,1703.0,2020-09-14 00:00:00+08:00,1857.0,2021-01-15 00:00:00+08:00,2020-06-15,-0.08657088069001753,123.0,-0.2533781873854172
CZCE.OI,CZCE.OI,7371.0,2020-09-14 00:00:00+08:00,7011.0,2021-01-15 00:00:00+08:00,2020-06-15,0.050073037982321135,123.0,0.14655523311898871
CZCE.PM,CZCE.PM,2180.0,2020-07-14 00:00:00+08:00,2245.0,2020-09-14 00:00:00+08:00,2020-06-15,-0.029380644393220016,62.0,-0.17059729002514848
CZCE.RI,CZCE.RI,2568.0,2020-09-14 00:00:00+08:00,2611.0,2020-07-14 00:00:00+08:00,2020-06-15,-0.016605903889277098,62.0,-0.09642137742160896
CZCE.RM,CZCE.RM,2339.0,2020-09-14 00:00:00+08:00,2288.0,2021-01-15 00:00:00+08:00,2020-06-15,0.02204541408449051,123.0,0.06452316317411858
CZCE.RS,CZCE.RS,4701.0,2020-09-14 00:00:00+08:00,4815.0,2020-08-14 00:00:00+08:00,2020-06-15,-0.023960793208095438,31.0,-0.27825437273917286
CZCE.SA,CZCE.SA,1443.0,2020-09-14 00:00:00+08:00,1536.0,2021-01-15 00:00:00+08:00,2020-06-15,-0.06245735493374661,123.0,-0.18280201444023397
CZCE.SF,CZCE.SF,5846.0,2020-08-14 00:00:00+08:00,5698.0,2020-09-14 00:00:00+08:00,2020-06-15,0.025642430613337652,31.0,0.2977830651871469
CZCE.SM,CZCE.SM,6792.0,2020-09-14 00:00:00+08:00,6708.0,2020-10-22 00:00:00+08:00,2020-06-15,0.012444605048083746,38.0,0.11789625835026707
CZCE.SR,CZCE.SR,5069.0,2020-09-14 00:00:00+08:00,4909.0,2021-01-15 00:00:00+08:00,2020-06-15,0.03207330441429685,123.0,0.09387308609062493
CZCE.TA,CZCE.TA,3652.0,2020-09-14 00:00:00+08:00,3804.0,2021-01-15 00:00:00+08:00,2020-06-15,-0.04077818195042181,123.0,-0.11935077644025895
CZCE.UR,CZCE.UR,1524.0,2020-09-14 00:00:00+08:00,1511.0,2021-01-15 00:00:00+08:00,2020-06-15,0.008566773973851978,123.0,0.025073484801517984
