,roll_yield,near_by,deferred,date
IF,-0.14284388412575025,IF1501,IF1503,2015-01-09
MA,-0.13646547649195623,MA506,MA509,2015-01-09
WH,-0.10182234593151396,WH501,WH505,2015-01-09
TA,-0.08807269388866751,TA505,TA509,2015-01-09
SR,-0.08725588725317461,SR505,SR509,2015-01-09
CF,-0.07681142481671867,CF505,CF509,2015-01-09
AL,-0.06052389163923522,AL1503,AL1504,2015-01-09
TC,-0.05754972140795042,TC505,TC509,2015-01-09
JM,-0.05245594302305866,jm1505,jm1509,2015-01-09
AG,-0.04428798489808408,AG1501,AG1506,2015-01-09
Y,-0.042553904975869146,y1505,y1509,2015-01-09
P,-0.038938599748056975,p1505,p1509,2015-01-09
OI,-0.030288483952231625,OI505,OI509,2015-01-09
C,-0.028542097402644864,c1505,c1509,2015-01-09
TF,-0.02170263299967391,TF1503,TF1506,2015-01-09
RB,-0.020560873416379716,RB1505,RB1510,2015-01-09
AU,-0.02025997672379338,AU1502,AU1506,2015-01-09
BB,-0.01292408232578616,bb1502,bb1505,2015-01-09
B,0.0045627385221201945,b1505,b1509,2015-01-09
FB,0.004962780288079404,fb1501,fb1505,2015-01-09
M,0.010615722329710085,m1505,m1509,2015-01-09
PB,0.014507356189665128,PB1502,PB1503,2015-01-09
V,0.02906999490290717,v1505,v1509,2015-01-09
FG,0.04250837029714495,FG506,FG509,2015-01-09
ZN,0.043676117369396805,ZN1502,ZN1503,2015-01-09
A,0.04693882076114683,a1505,a1509,2015-01-09
RM,0.05293057457609378,RM505,RM509,2015-01-09
RU,0.0663895845243078,RU1505,RU1509,2015-01-09
L,0.0712533494044894,l1505,l1509,2015-01-09
CU,0.09529261647375367,CU1503,CU1504,2015-01-09
PP,0.09548973217705825,pp1505,pp1509,2015-01-09
I,0.10779602767818999,i1505,i1509,2015-01-09
HC,0.150702477746473,HC1501,HC1505,2015-01-09
J,0.358395365518105,j1501,j1505,2015-01-09
ME,-0.3812783965385065,ME501,ME505,2015-01-12
BU,-0.3549614379286251,BU1506,BU1509,2015-01-12
FU,-0.274986694259845,FU1503,FU1506,2015-01-12
JD,-0.24293842767576934,jd1505,jd1509,2015-01-12
WR,-0.1737386801771473,WR1502,WR1504,2015-01-12
CS,-0.1700327076499984,cs1505,cs1509,2015-01-12
MA,-0.15332184540429766,MA506,MA509,2015-01-12
IF,-0.13317853109349656,IF1501,IF1503,2015-01-12
WH,-0.10787939845118147,WH501,WH505,2015-01-12
SR,-0.0809009820210399,SR505,SR509,2015-01-12
CF,-0.080306397338683,CF505,CF509,2015-01-12
TA,-0.0718597230674784,TA505,TA509,2015-01-12
RI,-0.06491752531044355,RI501,RI505,2015-01-12
JM,-0.06135183141387252,jm1505,jm1509,2015-01-12
TC,-0.048203996915458874,TC505,TC509,2015-01-12
AL,-0.046893377376912,AL1503,AL1504,2015-01-12
AG,-0.044395884763685126,AG1501,AG1506,2015-01-12
Y,-0.043569230515111954,y1505,y1509,2015-01-12
BB,-0.04097556831640165,bb1502,bb1505,2015-01-12
P,-0.03301920125166605,p1505,p1509,2015-01-12
C,-0.029752309972037774,c1505,c1509,2015-01-12
OI,-0.029297107833974594,OI505,OI509,2015-01-12
TF,-0.020629236028579027,TF1503,TF1506,2015-01-12
RB,-0.01815656678655234,RB1505,RB1510,2015-01-12
B,-0.017317380609470523,b1505,b1509,2015-01-12
AU,-0.013349536591050436,AU1502,AU1506,2015-01-12
PB,-0.00973236063079521,PB1502,PB1503,2015-01-12
FB,0.0049545841154188175,fb1501,fb1505,2015-01-12
M,0.013778508587155815,m1505,m1509,2015-01-12
V,0.03821707733228914,v1505,v1509,2015-01-12
ZN,0.04743810343885763,ZN1502,ZN1503,2015-01-12
A,0.04827998701255449,a1505,a1509,2015-01-12
FG,0.052231427669826816,FG506,FG509,2015-01-12
RM,0.052906639093878965,RM505,RM509,2015-01-12
L,0.07566605386787568,l1505,l1509,2015-01-12
RU,0.07777789802482774,RU1505,RU1509,2015-01-12
PP,0.0913389790107367,pp1505,pp1509,2015-01-12
CU,0.10142835942143232,CU1503,CU1504,2015-01-12
I,0.11021647693727256,i1505,i1509,2015-01-12
HC,0.20843175084189391,HC1501,HC1505,2015-01-12
J,0.4016757136660903,j1501,j1505,2015-01-12
BU,-0.32267161226981883,BU1506,BU1509,2015-01-13
FU,-0.274986694259845,FU1503,FU1506,2015-01-13
JD,-0.2684271153534098,jd1505,jd1509,2015-01-13
WR,-0.1737386801771473,WR1502,WR1504,2015-01-13
CS,-0.17109899520343122,cs1505,cs1509,2015-01-13
MA,-0.14808889189121294,MA506,MA509,2015-01-13
IF,-0.1391269279047619,IF1501,IF1503,2015-01-13
WH,-0.10369695933684248,WH501,WH505,2015-01-13
CF,-0.08477081756920987,CF505,CF509,2015-01-13
SR,-0.08018852843211907,SR505,SR509,2015-01-13
TA,-0.07492174702397755,TA505,TA509,2015-01-13
B,-0.05481273062257504,b1505,b1509,2015-01-13
RI,-0.05441423230590742,RI501,RI505,2015-01-13
JM,-0.04904741400458823,jm1505,jm1509,2015-01-13
Y,-0.0453515404038836,y1505,y1509,2015-01-13
AL,-0.042278376087802536,AL1503,AL1504,2015-01-13
TC,-0.036935299914798644,TC505,TC509,2015-01-13
OI,-0.03667648522280101,OI505,OI509,2015-01-13
P,-0.03472399572986572,p1505,p1509,2015-01-13
AG,-0.032071746749201144,AG1501,AG1506,2015-01-13
C,-0.027239147101189302,c1505,c1509,2015-01-13
AU,-0.021158777885658286,AU1502,AU1506,2015-01-13
TF,-0.019891950659325412,TF1503,TF1506,2015-01-13
RB,-0.008586771234921367,RB1505,RB1510,2015-01-13
M,0.007549887141285967,m1505,m1509,2015-01-13
PB,0.014781360932805247,PB1502,PB1503,2015-01-13
V,0.02674609097385718,v1505,v1509,2015-01-13
FG,0.03041839754087721,FG506,FG509,2015-01-13
ZN,0.03326661609940707,ZN1503,ZN1504,2015-01-13
A,0.0492533271436436,a1505,a1509,2015-01-13
RM,0.05239103736034592,RM505,RM509,2015-01-13
FB,0.06140206155162159,fb1501,fb1505,2015-01-13
BB,0.06920309401953158,bb1502,bb1505,2015-01-13
RU,0.07762095089459986,RU1505,RU1509,2015-01-13
L,0.0913196695440828,l1505,l1509,2015-01-13
CU,0.10396974066050284,CU1503,CU1504,2015-01-13
PP,0.11182475054373124,pp1505,pp1509,2015-01-13
I,0.12221649293731068,i1505,i1509,2015-01-13
HC,0.1392609889370283,HC1501,HC1505,2015-01-13
J,0.40347187593594847,j1501,j1505,2015-01-13
BU,-0.3535174650362183,BU1506,BU1509,2015-01-14
FU,-0.274986694259845,FU1503,FU1506,2015-01-14
JD,-0.24767107992074874,jd1505,jd1509,2015-01-14
CS,-0.17927268030207036,cs1505,cs1509,2015-01-14
WR,-0.1737386801771473,WR1502,WR1504,2015-01-14
MA,-0.14309139445722271,MA506,MA509,2015-01-14
IF,-0.1194373536928992,IF1502,IF1503,2015-01-14
WH,-0.10592044149643476,WH501,WH505,2015-01-14
CF,-0.08942198129157558,CF505,CF509,2015-01-14
TA,-0.0763533972885728,TA505,TA509,2015-01-14
SR,-0.07299017752354081,SR505,SR509,2015-01-14
B,-0.05868157756348072,b1505,b1509,2015-01-14
AL,-0.05691710275215424,AL1503,AL1504,2015-01-14
BB,-0.050484473252859166,bb1502,bb1505,2015-01-14
AG,-0.049056726844418815,AG1501,AG1506,2015-01-14
Y,-0.04771261551691247,y1505,y1509,2015-01-14
OI,-0.04373834928947171,OI505,OI509,2015-01-14
JM,-0.04109653307448578,jm1505,jm1509,2015-01-14
C,-0.03346450729320181,c1505,c1509,2015-01-14
TC,-0.03310729695296905,TC505,TC509,2015-01-14
PB,-0.030547322393205813,PB1503,PB1504,2015-01-14
P,-0.030223910684406663,p1505,p1509,2015-01-14
AU,-0.02308170932634595,AU1502,AU1506,2015-01-14
TF,-0.02052802469084164,TF1503,TF1506,2015-01-14
RB,-0.01826565996626144,RB1505,RB1510,2015-01-14
M,0.004416636793304626,m1505,m1509,2015-01-14
ZN,0.019209224527710404,ZN1503,ZN1504,2015-01-14
FG,0.03031958209107643,FG506,FG509,2015-01-14
V,0.038864519620400446,v1505,v1509,2015-01-14
