,roll_yield,near_by,deferred,date
CU,-0.024982659960289092,CU1303,CU1304,2013-01-15
RB,-0.01743713044337531,RB1305,RB1310,2013-01-15
B,-0.01729849961098597,b1305,b1309,2013-01-15
AU,-0.01385626075269604,AU1306,AU1312,2013-01-15
RU,-0.010577875797398115,RU1305,RU1309,2013-01-15
A,-0.008740901084788673,a1305,a1309,2013-01-15
Y,-0.005580099260508093,y1305,y1309,2013-01-15
SR,-0.0005413696667220739,SR305,SR309,2013-01-15
L,0.01979272023930324,l1305,l1309,2013-01-15
CF,0.03813775579582655,CF305,CF309,2013-01-15
TA,0.04474463507769116,TA305,TA309,2013-01-15
FU,0.06795620388290838,FU1303,FU1305,2013-01-15
OI,0.09767934611493267,OI307,OI309,2013-01-15
M,0.12087050528164937,m1305,m1309,2013-01-15
RS,0.15893486631712206,RS309,RS311,2013-01-15
RM,0.25882728309989467,RM305,RM311,2013-01-15
WH,-0.13909040103843218,WH307,WH309,2013-01-16
FG,-0.1349200969281936,FG305,FG309,2013-01-16
WS,-0.12989041725997258,WS301,WS305,2013-01-16
P,-0.12317428246619205,p1305,p1309,2013-01-16
PB,-0.11924576429342626,PB1302,PB1303,2013-01-16
AG,-0.09655156203552354,AG1302,AG1306,2013-01-16
J,-0.0893119982209497,j1305,j1309,2013-01-16
AL,-0.08741760513309449,AL1302,AL1303,2013-01-16
V,-0.06943199045054327,v1305,v1309,2013-01-16
ZN,-0.06700625063228803,ZN1303,ZN1304,2013-01-16
WR,-0.06494308052940263,WR1302,WR1305,2013-01-16
IF,-0.06301659396374992,IF1302,IF1303,2013-01-16
ME,-0.0609157984822367,ME301,ME305,2013-01-16
C,-0.04281418231599828,c1305,c1309,2013-01-16
B,-0.028861793960947457,b1305,b1309,2013-01-16
CU,-0.022803842052928756,CU1303,CU1304,2013-01-16
RO,-0.014437565462631807,RO301,RO305,2013-01-16
RB,-0.013990661847408025,RB1305,RB1310,2013-01-16
AU,-0.009989566592278312,AU1306,AU1312,2013-01-16
A,-0.009956449711297572,a1305,a1309,2013-01-16
RU,-0.009398871991713464,RU1305,RU1309,2013-01-16
Y,-0.008319857423928774,y1305,y1309,2013-01-16
SR,-0.002702459420654925,SR305,SR309,2013-01-16
L,0.024073766190374993,l1305,l1309,2013-01-16
FU,0.036225643201190906,FU1303,FU1305,2013-01-16
CF,0.0456370796367816,CF305,CF309,2013-01-16
TA,0.04756285068332803,TA305,TA309,2013-01-16
M,0.13147361923815346,m1305,m1309,2013-01-16
RS,0.1608435853868609,RS309,RS311,2013-01-16
RM,0.2553855281711625,RM305,RM311,2013-01-16
FU,-0.29976021989482965,FU1303,FU1305,2013-01-17
ER,-0.15023203709943742,ER301,ER305,2013-01-17
WH,-0.12747065168241692,WH307,WH309,2013-01-17
WS,-0.11845202276302182,WS301,WS305,2013-01-17
P,-0.11831531855381755,p1305,p1309,2013-01-17
FG,-0.10952976611937706,FG305,FG309,2013-01-17
PB,-0.10375854467209988,PB1302,PB1303,2013-01-17
AG,-0.09683490660862405,AG1302,AG1306,2013-01-17
PM,-0.08057089535683908,PM307,PM309,2013-01-17
J,-0.07335328759249302,j1305,j1309,2013-01-17
AL,-0.06711647698480565,AL1303,AL1304,2013-01-17
ZN,-0.06700625063228803,ZN1303,ZN1304,2013-01-17
IF,-0.06594699054144976,IF1302,IF1303,2013-01-17
V,-0.06278256031786746,v1305,v1309,2013-01-17
WR,-0.048805892732398395,WR1302,WR1305,2013-01-17
C,-0.04774636591769875,c1305,c1309,2013-01-17
B,-0.03531340935063339,b1305,b1309,2013-01-17
ME,-0.03486568561795724,ME305,ME309,2013-01-17
CU,-0.022839352858759352,CU1304,CU1305,2013-01-17
Y,-0.01664359331315389,y1305,y1309,2013-01-17
RB,-0.015761612598006253,RB1305,RB1310,2013-01-17
A,-0.011250013183621633,a1305,a1309,2013-01-17
AU,-0.008507675552556103,AU1306,AU1312,2013-01-17
RU,-0.00585708893582659,RU1305,RU1309,2013-01-17
SR,-0.0010883366707424634,SR305,SR309,2013-01-17
RO,0.0024086712487271823,RO303,RO305,2013-01-17
L,0.016949197626357063,l1305,l1309,2013-01-17
TA,0.04599994292134678,TA305,TA309,2013-01-17
