,date,code,basisRatio
392,2023-05-04,AU,0.004339250493096687
19,2023-05-04,CU,0.006613658319090436
229,2023-05-04,NI,0.0695010183299389
178,2023-05-04,PB,-0.006557377049180328
343,2023-05-04,SS,0.05692307692307692
135,2023-05-04,ZN,0.02490689013035382
452,2023-05-05,AG,-0.0037697052775873888
79,2023-05-05,AL,0.004629629629629629
393,2023-05-05,AU,-0.0062995594713656684
20,2023-05-05,CU,-0.0014252494186482634
230,2023-05-05,NI,0.057729786673689755
179,2023-05-05,PB,-0.009539473684210526
287,2023-05-05,SN,-0.017149817295980512
344,2023-05-05,SS,0.06697247706422019
136,2023-05-05,ZN,0.00868544600938967
453,2023-05-08,AG,-0.006966213862765587
80,2023-05-08,AL,0.002977801840822956
394,2023-05-08,AU,0.010362239297475363
21,2023-05-08,CU,-0.002529761904761905
231,2023-05-08,NI,0.061246753246753244
180,2023-05-08,PB,-0.005592105263157895
288,2023-05-08,SN,-0.008760529482551143
345,2023-05-08,SS,0.06808510638297872
137,2023-05-08,ZN,0.009735744089012517
454,2023-05-09,AG,-0.0038401117123407227
81,2023-05-09,AL,0.007625272331154684
395,2023-05-09,AU,-0.0037291897891232116
22,2023-05-09,CU,0.008
232,2023-05-09,NI,0.07735155018392012
289,2023-05-09,SN,0.007151370679380214
346,2023-05-09,SS,0.07173252279635259
138,2023-05-09,ZN,0.013419713095788986
455,2023-05-10,AG,-0.0073196235622168
82,2023-05-10,AL,0.007884719956498096
396,2023-05-10,AU,-0.00187575857883708
23,2023-05-10,CU,0.003561359252114557
233,2023-05-10,NI,0.06210947930574099
347,2023-05-10,SS,0.054461538461538464
139,2023-05-10,ZN,0.013901760889712697
456,2023-05-11,AG,0.0057833859095688745
83,2023-05-11,AL,0.019650655021834062
397,2023-05-11,AU,-0.02352835121247633
24,2023-05-11,CU,0.02177177177177177
234,2023-05-11,NI,0.06529693216999718
290,2023-05-11,SN,0.0013043478260869566
348,2023-05-11,SS,0.06811145510835913
140,2023-05-11,ZN,0.021790065604498594
457,2023-05-12,AG,-0.0016574585635359116
84,2023-05-12,AL,0.005030743432084964
398,2023-05-12,AU,-0.0007994670219853734
25,2023-05-12,CU,0.002012072434607646
235,2023-05-12,NI,0.0673076923076923
181,2023-05-12,PB,-0.007272727272727273
291,2023-05-12,SN,0.021985111662531018
349,2023-05-12,SS,0.06718266253869969
141,2023-05-12,ZN,0.0198090692124105
458,2023-05-15,AG,-0.0038638454461821527
85,2023-05-15,AL,-0.0005546311702717693
399,2023-05-15,AU,-0.0016814159292035198
26,2023-05-15,CU,-0.002163498686447226
236,2023-05-15,NI,0.06683459277917717
292,2023-05-15,SN,-0.008585858585858586
350,2023-05-15,SS,0.0653250773993808
142,2023-05-15,ZN,0.013783269961977186
459,2023-05-16,AG,0.0071796759941089834
86,2023-05-16,AL,0.012335526315789474
400,2023-05-16,AU,0.0016364440513047525
27,2023-05-16,CU,0.01517706576728499
237,2023-05-16,NI,0.08839716312056738
182,2023-05-16,PB,-0.007296849087893864
293,2023-05-16,SN,0.007167919799498747
351,2023-05-16,SS,0.07711598746081505
143,2023-05-16,ZN,0.026590693257359924
460,2023-05-17,AG,-0.0038989974006683995
87,2023-05-17,AL,0.0070690592713431215
401,2023-05-17,AU,-0.00013363028953229905
28,2023-05-17,CU,0.00394401051736138
238,2023-05-17,NI,0.07305354558610709
183,2023-05-17,PB,-0.008955223880597015
294,2023-05-17,SN,-0.008293299620733248
352,2023-05-17,SS,0.06687697160883281
144,2023-05-17,ZN,0.007180469123982767
461,2023-05-18,AG,-0.0025945144551519643
88,2023-05-18,AL,0.01424731182795699
402,2023-05-18,AU,0.000891265597148026
29,2023-05-18,CU,0.006358819076457229
239,2023-05-18,NI,0.07022504327755337
184,2023-05-18,PB,-0.012913907284768211
295,2023-05-18,SN,-0.01505050505050505
353,2023-05-18,SS,0.06990595611285266
145,2023-05-18,ZN,0.011859582542694497
462,2023-05-19,AG,-0.012086277426552623
89,2023-05-19,AL,0.01348435814455232
403,2023-05-19,AU,-0.0020174848688634325
30,2023-05-19,CU,0.0022071694953953876
240,2023-05-19,NI,0.05215617715617716
185,2023-05-19,PB,-0.009210526315789473
296,2023-05-19,SN,-0.021323155216284986
354,2023-05-19,SS,0.06845425867507886
146,2023-05-19,ZN,0.007928880345987505
463,2023-05-22,AG,-0.004417448923246825
90,2023-05-22,AL,0.019869352204681546
404,2023-05-22,AU,0.00035650623885923575
31,2023-05-22,CU,0.009317244539483733
241,2023-05-22,NI,0.0730514811619212
186,2023-05-22,PB,-0.007553366174055829
297,2023-05-22,SN,-0.0012167300380228137
355,2023-05-22,SS,0.0750788643533123
147,2023-05-22,ZN,0.02233009708737864
464,2023-05-23,AG,-0.0014798372179060304
91,2023-05-23,AL,0.021514161220043574
405,2023-05-23,AU,0.005570409982174688
32,2023-05-23,CU,0.01646374148097098
242,2023-05-23,NI,0.10880681818181819
187,2023-05-23,PB,-0.007248764415156508
298,2023-05-23,SN,0.0229873417721519
356,2023-05-23,SS,0.08517350157728706
148,2023-05-23,ZN,0.041605839416058395
465,2023-05-24,AG,-0.001486160133754412
92,2023-05-24,AL,0.029850746268656716
406,2023-05-24,AU,0.0002672605790645981
33,2023-05-24,CU,0.0058388478007006615
243,2023-05-24,NI,0.07983824378971692
188,2023-05-24,PB,-0.00891089108910891
299,2023-05-24,SN,-0.00782608695652174
357,2023-05-24,SS,0.07936507936507936
149,2023-05-24,ZN,0.013177901672579827
466,2023-05-25,AG,-0.009092631180147755
93,2023-05-25,AL,0.025400331308669245
407,2023-05-25,AU,0.0008059100067159473
34,2023-05-25,CU,0.004861220009408813
244,2023-05-25,NI,0.07849829351535836
300,2023-05-25,SN,0.0016541353383458647
358,2023-05-25,SS,0.06444444444444444
150,2023-05-25,ZN,0.026571282575370465
467,2023-05-26,AG,-0.010817992028847978
94,2023-05-26,AL,-0.0013766519823788547
408,2023-05-26,AU,0.0
35,2023-05-26,CU,-0.008897908211052139
245,2023-05-26,NI,0.07371721778791335
189,2023-05-26,PB,-0.009256198347107438
301,2023-05-26,SN,-0.012763819095477387
359,2023-05-26,SS,0.057777777777777775
151,2023-05-26,ZN,0.0007772020725388601
468,2023-05-29,AG,-0.008047913157402208
95,2023-05-29,AL,0.01824618736383442
409,2023-05-29,AU,-0.0014861517676198336
36,2023-05-29,CU,0.004807325448302174
246,2023-05-29,NI,0.0697647733792312
190,2023-05-29,PB,-0.007603305785123967
302,2023-05-29,SN,-0.02692971639950678
360,2023-05-29,SS,0.06529968454258675
152,2023-05-29,ZN,0.016210739614994935
469,2023-05-30,AG,0.0007479431563201197
96,2023-05-30,AL,0.02125340599455041
410,2023-05-30,AU,0.001394825646794161
37,2023-05-30,CU,0.013623563437095669
247,2023-05-30,NI,0.08522759005864283
303,2023-05-30,SN,0.007600950118764846
361,2023-05-30,SS,0.05619047619047619
153,2023-05-30,ZN,0.018810371123538384
470,2023-05-31,AG,-0.018719580681392737
97,2023-05-31,AL,0.01449671772428884
411,2023-05-31,AU,-0.0035043860628110827
38,2023-05-31,CU,0.005209929512718358
248,2023-05-31,NI,0.08122424955856386
304,2023-05-31,SN,0.0038600723763570566
362,2023-05-31,SS,0.06952380952380953
154,2023-05-31,ZN,0.00977869274318065
471,2023-06-01,AG,-0.006058380760051404
98,2023-06-01,AL,0.005434782608695652
412,2023-06-01,AU,0.0015968063872254833
39,2023-06-01,CU,0.001367573317125057
249,2023-06-01,NI,0.04173913043478261
191,2023-06-01,PB,-0.009333333333333334
305,2023-06-01,SN,-0.0057692307692307696
363,2023-06-01,SS,0.03865814696485623
155,2023-06-01,ZN,0.008983572895277207
472,2023-06-02,AG,-0.005623072737166697
99,2023-06-02,AL,0.004846526655896607
413,2023-06-02,AU,0.0008416389811738549
40,2023-06-02,CU,0.0015071590052750565
250,2023-06-02,NI,0.04419695193434935
192,2023-06-02,PB,-0.008375209380234505
306,2023-06-02,SN,-0.0036710369487485102
364,2023-06-02,SS,0.043217665615141954
156,2023-06-02,ZN,0.007712082262210797
473,2023-06-05,AG,0.0016474464579901153
100,2023-06-05,AL,0.017925040738728953
414,2023-06-05,AU,0.009124209124209155
41,2023-06-05,CU,0.010009783999397908
251,2023-06-05,NI,0.05094509450945094
193,2023-06-05,PB,-0.008710217755443886
307,2023-06-05,SN,0.0009650180940892642
365,2023-06-05,SS,0.052050473186119876
157,2023-06-05,ZN,0.020318930041152265
474,2023-06-06,AG,-0.0018291567587342234
101,2023-06-06,AL,0.009846827133479213
415,2023-06-06,AU,-0.00359639913329005
42,2023-06-06,CU,0.010792705619650168
252,2023-06-06,NI,0.05516830503425678
194,2023-06-06,PB,-0.010385259631490788
366,2023-06-06,SS,0.039047619047619046
158,2023-06-06,ZN,0.008686765457332652
475,2023-06-07,AG,-0.0016429353778751369
102,2023-06-07,AL,0.014961915125136017
416,2023-06-07,AU,-0.00035555555555561114
43,2023-06-07,CU,0.011659858893427404
253,2023-06-07,NI,0.06500146929180135
195,2023-06-07,PB,-0.011
308,2023-06-07,SN,0.008323424494649227
367,2023-06-07,SS,0.043217665615141954
159,2023-06-07,ZN,0.011622031328954016
476,2023-06-08,AG,-0.005639439694378752
103,2023-06-08,AL,0.016198704103671708
417,2023-06-08,AU,0.000424476664953861
44,2023-06-08,CU,0.008404611379695054
254,2023-06-08,NI,0.06647093364650616
196,2023-06-08,PB,-0.009317803660565723
309,2023-06-08,SN,0.004053075995174909
368,2023-06-08,SS,0.04416403785488959
160,2023-06-08,ZN,0.014962593516209476
477,2023-06-09,AG,-0.009210060219624512
104,2023-06-09,AL,0.012064343163538873
418,2023-06-09,AU,-0.0007095343680709384
45,2023-06-09,CU,0.0037130551017377097
255,2023-06-09,NI,0.026981752916542028
310,2023-06-09,SN,-0.0016783216783216783
369,2023-06-09,SS,0.035555555555555556
161,2023-06-09,ZN,0.009181141439205955
478,2023-06-12,AG,-0.0051473198438054665
105,2023-06-12,AL,0.02046311254711901
419,2023-06-12,AU,-0.0017549705653671455
46,2023-06-12,CU,0.007352395098403268
256,2023-06-12,NI,0.04413914060216311
197,2023-06-12,PB,-0.011589403973509934
311,2023-06-12,SN,0.005653206650831354
370,2023-06-12,SS,0.03690851735015773
162,2023-06-12,ZN,0.012993503248375811
479,2023-06-13,AG,-0.0070859167404783
106,2023-06-13,AL,0.004076086956521739
420,2023-06-13,AU,-0.0008849557522123391
47,2023-06-13,CU,0.0028873917228103944
257,2023-06-13,NI,0.040963139120095124
198,2023-06-13,PB,-0.01221122112211221
312,2023-06-13,SN,-0.00934131736526946
371,2023-06-13,SS,0.04100946372239748
163,2023-06-13,ZN,0.005758637956935403
480,2023-06-14,AG,-0.002137894174238375
107,2023-06-14,AL,0.003767491926803014
421,2023-06-14,AU,0.006407706924742537
48,2023-06-14,CU,0.008563273073263558
258,2023-06-14,NI,0.030795551753635585
199,2023-06-14,PB,-0.01089108910891089
313,2023-06-14,SN,0.0008500590318772137
372,2023-06-14,SS,0.033753943217665616
164,2023-06-14,ZN,0.007407407407407408
481,2023-06-15,AG,0.002890695573622403
108,2023-06-15,AL,0.003507825148407987
422,2023-06-15,AU,0.0043749999999999544
49,2023-06-15,CU,0.006152043357257947
259,2023-06-15,NI,0.036542792792792794
200,2023-06-15,PB,-0.015181518151815182
314,2023-06-15,SN,-0.0017309941520467836
373,2023-06-15,SS,0.045110410094637225
165,2023-06-15,ZN,0.004645476772616137
482,2023-06-16,AG,-0.0012502232541525273
109,2023-06-16,AL,0.008235919234856535
423,2023-06-16,AU,0.006939226519336986
50,2023-06-16,CU,0.004207777132907719
260,2023-06-16,NI,0.030106323447118076
201,2023-06-16,PB,-0.017105263157894738
315,2023-06-16,SN,-0.006811428571428572
374,2023-06-16,SS,0.03753943217665615
166,2023-06-16,ZN,0.003875968992248062
483,2023-06-19,AG,-0.001779676098949991
110,2023-06-19,AL,0.017305644302449415
424,2023-06-19,AU,-0.0004444444444444192
51,2023-06-19,CU,0.009263279779997104
261,2023-06-19,NI,0.03707512139388746
202,2023-06-19,PB,-0.016065573770491802
316,2023-06-19,SN,-0.0009291521486643438
375,2023-06-19,SS,0.05804416403785489
167,2023-06-19,ZN,0.009689922480620155
484,2023-06-20,AG,-0.004829189769272045
111,2023-06-20,AL,0.016180371352785147
425,2023-06-20,AU,0.0009983361064891596
52,2023-06-20,CU,0.007526414821247648
262,2023-06-20,NI,0.03184823225064674
203,2023-06-20,PB,-0.0176759410801964
317,2023-06-20,SN,-0.004705882352941176
376,2023-06-20,SS,0.06126984126984127
168,2023-06-20,ZN,0.004156479217603912
485,2023-06-21,AG,-0.0007311277645768598
112,2023-06-21,AL,0.02336696760488582
426,2023-06-21,AU,0.001912811387900386
53,2023-06-21,CU,0.010195290063182079
263,2023-06-21,NI,0.03226735811005474
204,2023-06-21,PB,-0.01794453507340946
318,2023-06-21,SN,0.002328767123287671
377,2023-06-21,SS,0.05555555555555555
169,2023-06-21,ZN,0.016349438750610054
486,2023-06-26,AG,0.001658374792703151
113,2023-06-26,AL,0.01570113697888468
427,2023-06-26,AU,0.0015569395017794605
54,2023-06-26,CU,0.006815545243619489
264,2023-06-26,NI,0.03311649911295092
205,2023-06-26,PB,-0.013680781758957655
319,2023-06-26,SN,0.007310826542491269
378,2023-06-26,SS,0.05750798722044728
170,2023-06-26,ZN,0.011111111111111112
487,2023-06-27,AG,-0.002383134738771769
114,2023-06-27,AL,0.01
428,2023-06-27,AU,0.0007126948775055527
55,2023-06-27,CU,0.00320326150262085
265,2023-06-27,NI,0.024271553018924603
206,2023-06-27,PB,-0.01639344262295082
320,2023-06-27,SN,-0.0037735849056603774
379,2023-06-27,SS,0.05591054313099041
171,2023-06-27,ZN,0.00909090909090909
488,2023-06-28,AG,-0.0007359705611775528
115,2023-06-28,AL,0.014539579967689823
429,2023-06-28,AU,0.0040089086859688445
56,2023-06-28,CU,0.0035879036391594054
266,2023-06-28,NI,0.03155676001204456
207,2023-06-28,PB,-0.016420361247947456
321,2023-06-28,SN,-0.0023501762632197414
380,2023-06-28,SS,0.05591054313099041
172,2023-06-28,ZN,0.009131293188548864
489,2023-06-29,AG,-0.0007352941176470588
116,2023-06-29,AL,0.016442048517520215
430,2023-06-29,AU,-0.0062122905027932355
57,2023-06-29,CU,0.006027638929726551
267,2023-06-29,NI,0.03546617915904936
208,2023-06-29,PB,-0.01444991789819376
322,2023-06-29,SN,0.0011695906432748538
381,2023-06-29,SS,0.065814696485623
173,2023-06-29,ZN,0.009113300492610837
490,2023-06-30,AG,0.0
117,2023-06-30,AL,0.010787486515641856
431,2023-06-30,AU,0.0028313454464386103
58,2023-06-30,CU,0.0014708045300779527
268,2023-06-30,NI,0.030475613450469556
209,2023-06-30,PB,-0.017434210526315788
323,2023-06-30,SN,-0.012073732718894009
382,2023-06-30,SS,0.05910543130990415
174,2023-06-30,ZN,0.0027160493827160493
