,date,code,basisRatio
3611,2023-04-17,L,0.01614652367755151
1742,2023-04-17,LH,-0.2714285714285714
919,2023-04-17,M,0.18279816513761468
3714,2023-04-17,MA,0.03826429980276134
2535,2023-04-17,NI,0.08415637860082305
1331,2023-04-17,OI,0.05918141592920354
1125,2023-04-17,P,0.07783505154639175
4478,2023-04-17,PF,0.03201748746303202
4719,2023-04-17,PG,0.13263321664721897
3817,2023-04-17,PP,0.02337528898022091
301,2023-04-17,RB,0.026419753086419754
1228,2023-04-17,RM,0.07041800643086817
4174,2023-04-17,RU,-0.03747276688453159
3406,2023-04-17,SA,0.24793650793650793
610,2023-04-17,SF,-0.02891891891891892
2995,2023-04-17,SI,0.014743589743589743
507,2023-04-17,SM,0.01903409090909091
2637,2023-04-17,SN,-0.043536439665471924
3303,2023-04-17,SP,0.02738738738738739
1434,2023-04-17,SR,-0.0430239704978488
2737,2023-04-17,SS,0.07819314641744549
4567,2023-04-17,TA,0.07244582043343653
4073,2023-04-17,UR,0.18247011952191236
4376,2023-04-17,V,-0.01180186170212766
1022,2023-04-17,Y,0.09059233449477352
2355,2023-04-17,ZN,0.019839500668747213
714,2023-04-18,A,0.023846153846153847
2893,2023-04-18,AG,-0.010908440629470672
2255,2023-04-18,AL,0.0023860021208907743
817,2023-04-18,B,0.12761506276150628
3201,2023-04-18,BU,0.03233830845771144
1846,2023-04-18,C,0.019064748201438848
1538,2023-04-18,CF,0.024413810873486215
2049,2023-04-18,CJ,-0.2
1946,2023-04-18,CS,0.015584415584415584
2152,2023-04-18,CU,0.005455067470571347
3098,2023-04-18,EG,-0.03535965124727537
3509,2023-04-18,FG,-0.012585812356979404
4277,2023-04-18,FU,0.021362229102167184
405,2023-04-18,HC,0.03601895734597156
216,2023-04-18,I,0.16221414832229106
113,2023-04-18,J,0.07564646854496333
1641,2023-04-18,JD,0.07894736842105263
10,2023-04-18,JM,0.11176699894191683
3612,2023-04-18,L,0.015962554008641383
1743,2023-04-18,LH,-0.2641843971631206
920,2023-04-18,M,0.18295454545454545
3715,2023-04-18,MA,0.03889980353634578
2536,2023-04-18,NI,0.08675445391169635
1332,2023-04-18,OI,0.05093099671412924
1126,2023-04-18,P,0.06717363751584284
4479,2023-04-18,PF,0.03407483605503407
4720,2023-04-18,PG,0.14075067024128687
3818,2023-04-18,PP,0.022090932442846135
302,2023-04-18,RB,0.024324324324324326
1229,2023-04-18,RM,0.06971608832807571
4175,2023-04-18,RU,-0.03297180043383948
3407,2023-04-18,SA,0.24888888888888888
611,2023-04-18,SF,-0.053513513513513515
2996,2023-04-18,SI,0.008012820512820512
508,2023-04-18,SM,0.005649717514124294
2638,2023-04-18,SN,0.009162011173184357
3304,2023-04-18,SP,0.018738738738738738
1435,2023-04-18,SR,-0.04179471419791026
2738,2023-04-18,SS,0.10182370820668693
4568,2023-04-18,TA,0.07661227661227661
4074,2023-04-18,UR,0.15263157894736842
4377,2023-04-18,V,-0.01112565445026178
1023,2023-04-18,Y,0.06968641114982578
2356,2023-04-18,ZN,0.02037617554858934
715,2023-04-19,A,0.031538461538461536
2894,2023-04-19,AG,-0.005711226128859539
2256,2023-04-19,AL,0.006305832895428271
818,2023-04-19,B,0.14435146443514643
3202,2023-04-19,BU,0.03308457711442786
1847,2023-04-19,C,0.021223021582733814
1539,2023-04-19,CF,0.031186094069529654
2050,2023-04-19,CJ,-0.21294117647058824
1947,2023-04-19,CS,0.02193548387096774
2153,2023-04-19,CU,0.009973451962402239
3099,2023-04-19,EG,-0.027079303675048357
3510,2023-04-19,FG,0.0033632286995515697
4278,2023-04-19,FU,0.015379786566227243
406,2023-04-19,HC,0.039192399049881234
217,2023-04-19,I,0.16244748464935901
114,2023-04-19,J,0.08124276341181011
1642,2023-04-19,JD,0.08063157894736842
11,2023-04-19,JM,0.1181711867238403
3613,2023-04-19,L,0.015360614424576983
1744,2023-04-19,LH,-0.25384615384615383
921,2023-04-19,M,0.21748878923766815
3716,2023-04-19,MA,0.0484375
2537,2023-04-19,NI,0.09568238213399503
1333,2023-04-19,OI,0.06305525460455037
1127,2023-04-19,P,0.06977329974811083
4480,2023-04-19,PF,0.04333290471904333
4721,2023-04-19,PG,0.155893536121673
3819,2023-04-19,PP,0.02547934628747909
303,2023-04-19,RB,0.026419753086419754
1230,2023-04-19,RM,0.07229299363057325
4176,2023-04-19,RU,-0.03053763440860215
3408,2023-04-19,SA,0.2644444444444444
612,2023-04-19,SF,-0.04993288590604027
2997,2023-04-19,SI,0.010897435897435897
509,2023-04-19,SM,0.004225352112676056
2639,2023-04-19,SN,0.003515981735159817
3305,2023-04-19,SP,0.011636363636363636
1436,2023-04-19,SR,-0.03795328826060233
2739,2023-04-19,SS,0.09544072948328268
4569,2023-04-19,TA,0.08146989835809226
4075,2023-04-19,UR,0.15910931174089069
4378,2023-04-19,V,-0.003882866850024268
1024,2023-04-19,Y,0.0808362369337979
2357,2023-04-19,ZN,0.023416592328278325
716,2023-04-20,A,0.05326923076923077
2895,2023-04-20,AG,-0.009403832505322923
2257,2023-04-20,AL,0.003663003663003663
819,2023-04-20,B,0.16108786610878661
3203,2023-04-20,BU,0.04552238805970149
1848,2023-04-20,C,0.029136690647482016
1540,2023-04-20,CF,0.02985551719728935
2051,2023-04-20,CJ,-0.2211764705882353
1948,2023-04-20,CS,0.03354838709677419
2154,2023-04-20,CU,0.007265664340694914
3100,2023-04-20,EG,-0.04349927501208313
3511,2023-04-20,FG,-0.025498891352549888
4279,2023-04-20,FU,0.02268370607028754
407,2023-04-20,HC,0.03822115384615385
218,2023-04-20,I,0.16903099083369705
115,2023-04-20,J,0.10768043226553455
1643,2023-04-20,JD,0.09915789473684211
12,2023-04-20,JM,0.14561747409689163
3614,2023-04-20,L,0.014194634909178395
1745,2023-04-20,LH,-0.23991655076495133
922,2023-04-20,M,0.21704545454545454
3717,2023-04-20,MA,0.03522504892367906
2538,2023-04-20,NI,0.0977634194831014
1334,2023-04-20,OI,0.062004405286343614
1128,2023-04-20,P,0.07637292464878671
4481,2023-04-20,PF,0.0509783728115345
4722,2023-04-20,PG,0.15935951200914983
3820,2023-04-20,PP,0.026064516129032256
304,2023-04-20,RB,0.023134328358208955
1231,2023-04-20,RM,0.08645161290322581
4177,2023-04-20,RU,-0.03126338329764454
3409,2023-04-20,SA,0.29523809523809524
613,2023-04-20,SF,-0.03328859060402684
2998,2023-04-20,SI,0.019417475728155338
510,2023-04-20,SM,0.0031073446327683617
2640,2023-04-20,SN,0.0025570776255707762
3306,2023-04-20,SP,0.028727272727272726
1437,2023-04-20,SR,-0.033690658499234305
2740,2023-04-20,SS,0.0837920489296636
4570,2023-04-20,TA,0.0910520522094669
4076,2023-04-20,UR,0.15806451612903225
4379,2023-04-20,V,-0.00878620240807029
1025,2023-04-20,Y,0.08894117647058823
2358,2023-04-20,ZN,0.02098375451263538
717,2023-04-21,A,0.07115384615384615
2896,2023-04-21,AG,-0.0030200746136081007
2258,2023-04-21,AL,0.014713610089332634
820,2023-04-21,B,0.17531380753138076
3204,2023-04-21,BU,0.07039800995024875
1849,2023-04-21,C,0.039711191335740074
1541,2023-04-21,CF,0.04438726278546156
2052,2023-04-21,CJ,-0.18352941176470589
1949,2023-04-21,CS,0.04225806451612903
2155,2023-04-21,CU,0.009290172739149368
3101,2023-04-21,EG,-0.03893002149510389
3512,2023-04-21,FG,0.0027593818984547464
4280,2023-04-21,FU,0.028164454516024603
408,2023-04-21,HC,0.03660933660933661
219,2023-04-21,I,0.16571493832800369
116,2023-04-21,J,0.12350443844075647
1644,2023-04-21,JD,0.10126315789473685
13,2023-04-21,JM,0.16746009521142538
3615,2023-04-21,L,0.011183261183261184
1746,2023-04-21,LH,-0.24027777777777778
923,2023-04-21,M,0.21724137931034482
3718,2023-04-21,MA,0.04186046511627907
2539,2023-04-21,NI,0.10226751592356688
1335,2023-04-21,OI,0.06937639198218262
1129,2023-04-21,P,0.08997429305912596
4723,2023-04-21,PG,0.14153846153846153
3821,2023-04-21,PP,0.021070320579110652
305,2023-04-21,RB,0.03526448362720403
1232,2023-04-21,RM,0.09415584415584416
4178,2023-04-21,RU,-0.029067245119305855
3410,2023-04-21,SA,0.29333333333333333
614,2023-04-21,SF,-0.02108108108108108
2999,2023-04-21,SI,0.015635179153094463
511,2023-04-21,SM,0.019714285714285715
2641,2023-04-21,SN,0.008534583821805393
3307,2023-04-21,SP,0.035555555555555556
1438,2023-04-21,SR,-0.03937007874015748
2741,2023-04-21,SS,0.09235474006116208
4571,2023-04-21,TA,0.09769933816577371
4077,2023-04-21,UR,0.17983870967741936
4380,2023-04-21,V,-0.0055158987670343934
1026,2023-04-21,Y,0.10332541567695962
2359,2023-04-21,ZN,0.03133453561767358
718,2023-04-24,A,0.05692307692307692
2897,2023-04-24,AG,-0.006629636265902168
2259,2023-04-24,AL,0.008994708994708995
821,2023-04-24,B,0.1707112970711297
3205,2023-04-24,BU,0.07786069651741294
1850,2023-04-24,C,0.03935018050541516
1542,2023-04-24,CF,0.04162913395959336
2053,2023-04-24,CJ,-0.20647058823529413
1950,2023-04-24,CS,0.04419354838709678
2156,2023-04-24,CU,0.007372800934374772
3102,2023-04-24,EG,-0.02994157740993184
3513,2023-04-24,FG,-0.00712719298245614
4281,2023-04-24,FU,0.03574848388126396
409,2023-04-24,HC,0.04221105527638191
220,2023-04-24,I,0.1444325862682319
117,2023-04-24,J,0.10036130068245684
1645,2023-04-24,JD,0.05288888888888889
14,2023-04-24,JM,0.16718006160739288
3616,2023-04-24,L,0.02175480769230769
1747,2023-04-24,LH,-0.2133243606998654
4664,2023-04-24,LU,0.02177811939533692
924,2023-04-24,M,0.19270588235294117
3719,2023-04-24,MA,0.0563600782778865
2540,2023-04-24,NI,0.09465408805031447
1336,2023-04-24,OI,0.07364864864864865
1130,2023-04-24,P,0.08972691807542263
4482,2023-04-24,PF,0.056923277321870525
4724,2023-04-24,PG,0.1402961808261886
3822,2023-04-24,PP,0.02986039296794209
306,2023-04-24,RB,0.028645833333333332
1233,2023-04-24,RM,0.07068403908794789
4179,2023-04-24,RU,-0.028131868131868132
3411,2023-04-24,SA,0.32285714285714284
615,2023-04-24,SF,-0.014054054054054054
3000,2023-04-24,SI,0.016612377850162865
512,2023-04-24,SM,0.022636103151862465
2642,2023-04-24,SN,0.013395784543325528
3308,2023-04-24,SP,0.010188679245283019
1439,2023-04-24,SR,-0.020206624126405347
2742,2023-04-24,SS,0.09153605015673981
4572,2023-04-24,TA,0.10138029509757258
4078,2023-04-24,UR,0.18048780487804877
4381,2023-04-24,V,0.00554016620498615
1027,2023-04-24,Y,0.09191797346200241
2360,2023-04-24,ZN,0.03930530164533821
719,2023-04-25,A,0.04961089494163424
2898,2023-04-25,AG,-0.006036931818181818
2260,2023-04-25,AL,0.007434944237918215
822,2023-04-25,B,0.17656903765690377
3206,2023-04-25,BU,0.06343283582089553
1851,2023-04-25,C,0.04115523465703971
1543,2023-04-25,CF,0.02697864723181179
2054,2023-04-25,CJ,-0.21176470588235294
1951,2023-04-25,CS,0.04709677419354839
2157,2023-04-25,CU,0.006663249615581753
3103,2023-04-25,EG,-0.030384054448225572
3514,2023-04-25,FG,-0.003260869565217391
4282,2023-04-25,FU,0.019632284200685572
410,2023-04-25,HC,0.044836272040302265
221,2023-04-25,I,0.1515513126491647
118,2023-04-25,J,0.11360899237254114
1646,2023-04-25,JD,0.06355555555555556
15,2023-04-25,JM,0.16035101715197453
3617,2023-04-25,L,0.014522323571771483
1748,2023-04-25,LH,-0.16192052980132451
925,2023-04-25,M,0.19411764705882353
3720,2023-04-25,MA,0.04466403162055336
2541,2023-04-25,NI,0.0906764168190128
1337,2023-04-25,OI,0.06809954751131221
1131,2023-04-25,P,0.0792156862745098
4483,2023-04-25,PF,0.055881203595154354
4725,2023-04-25,PG,0.11850271528316525
3823,2023-04-25,PP,0.02326783867631851
307,2023-04-25,RB,0.03263707571801567
1234,2023-04-25,RM,0.07564102564102564
4180,2023-04-25,RU,-0.03139784946236559
3412,2023-04-25,SA,0.32666666666666666
616,2023-04-25,SF,-0.011700680272108844
3001,2023-04-25,SI,-0.0016286644951140066
513,2023-04-25,SM,0.025
2643,2023-04-25,SN,-0.0004247286455875413
3309,2023-04-25,SP,0.0019047619047619048
1440,2023-04-25,SR,-0.031601336979641445
2743,2023-04-25,SS,0.08463949843260188
4573,2023-04-25,TA,0.08376288659793814
4079,2023-04-25,UR,0.1943089430894309
4382,2023-04-25,V,-0.000493421052631579
1028,2023-04-25,Y,0.08087697929354445
2361,2023-04-25,ZN,0.03317972350230415
720,2023-04-26,A,0.05603112840466926
2899,2023-04-26,AG,-0.00803284541235273
2261,2023-04-26,AL,0.006666666666666667
823,2023-04-26,B,0.16150627615062763
3207,2023-04-26,BU,0.0681592039800995
1852,2023-04-26,C,0.03393501805054152
1544,2023-04-26,CF,0.02338771348457813
2055,2023-04-26,CJ,-0.21529411764705883
1952,2023-04-26,CS,0.03774193548387097
2158,2023-04-26,CU,0.0045161767972162585
3104,2023-04-26,EG,-0.03352091999021287
3515,2023-04-26,FG,0.029443254817987152
4283,2023-04-26,FU,0.015330565314595975
411,2023-04-26,HC,0.044221105527638194
222,2023-04-26,I,0.15467201510146297
119,2023-04-26,J,0.12203934162986753
1647,2023-04-26,JD,0.064
16,2023-04-26,JM,0.178015841358482
3618,2023-04-26,L,0.01394063213556063
1749,2023-04-26,LH,-0.1657718120805369
926,2023-04-26,M,0.18497652582159624
3721,2023-04-26,MA,0.043687374749499
2542,2023-04-26,NI,0.09402390438247012
1338,2023-04-26,OI,0.06868571428571428
1132,2023-04-26,P,0.0792156862745098
4726,2023-04-26,PG,0.12942090944422852
3824,2023-04-26,PP,0.02629193109700816
308,2023-04-26,RB,0.031510416666666666
1235,2023-04-26,RM,0.07955974842767295
4181,2023-04-26,RU,-0.028265524625267664
3413,2023-04-26,SA,0.3196825396825397
617,2023-04-26,SF,-0.011700680272108844
3002,2023-04-26,SI,0.0026058631921824105
514,2023-04-26,SM,0.019913419913419914
2644,2023-04-26,SN,-0.0016908212560386474
3310,2023-04-26,SP,0.004230769230769231
1441,2023-04-26,SR,-0.025156296516820484
2744,2023-04-26,SS,0.08463949843260188
4574,2023-04-26,TA,0.08094928478543563
4080,2023-04-26,UR,0.16625
4383,2023-04-26,V,-0.004484304932735426
1029,2023-04-26,Y,0.07703523693803159
2362,2023-04-26,ZN,0.029398040130657957
721,2023-04-27,A,0.06245136186770428
2900,2023-04-27,AG,-0.013950992666785907
2262,2023-04-27,AL,0.012116316639741519
824,2023-04-27,B,0.1713389121338912
3208,2023-04-27,BU,0.09004975124378109
1853,2023-04-27,C,0.03418181818181818
1545,2023-04-27,CF,0.031242046322219393
2056,2023-04-27,CJ,-0.20058823529411765
1953,2023-04-27,CS,0.04096774193548387
2159,2023-04-27,CU,0.0051005100510051
3105,2023-04-27,EG,-0.022637795275590553
3516,2023-04-27,FG,0.07346723044397463
4284,2023-04-27,FU,0.019256308100929615
412,2023-04-27,HC,0.05025125628140704
223,2023-04-27,I,0.1656922357343312
120,2023-04-27,J,0.13127258129265354
1648,2023-04-27,JD,0.06355555555555556
17,2023-04-27,JM,0.14827731345078463
3619,2023-04-27,L,0.03329727130664743
1750,2023-04-27,LH,-0.18620689655172415
4665,2023-04-27,LU,0.019412381951731374
927,2023-04-27,M,0.21232876712328766
3722,2023-04-27,MA,0.05668016194331984
2543,2023-04-27,NI,0.09311353363467163
1339,2023-04-27,OI,0.07108294930875576
1133,2023-04-27,P,0.08980132450331126
2451,2023-04-27,PB,-0.005263157894736842
4484,2023-04-27,PF,0.06475195822454308
4727,2023-04-27,PG,0.15509168942645338
3825,2023-04-27,PP,0.040020722704312915
309,2023-04-27,RB,0.04051948051948052
1236,2023-04-27,RM,0.07987421383647798
4182,2023-04-27,RU,-0.018655097613882864
3414,2023-04-27,SA,0.32031746031746033
618,2023-04-27,SF,-0.005714285714285714
3003,2023-04-27,SI,0.013029315960912053
515,2023-04-27,SM,-0.0037463976945244955
2645,2023-04-27,SN,0.0036363636363636364
3311,2023-04-27,SP,0.02
1442,2023-04-27,SR,-0.013425789318383004
2745,2023-04-27,SS,0.06624605678233439
4575,2023-04-27,TA,0.09200260078023408
4081,2023-04-27,UR,0.16118143459915613
4384,2023-04-27,V,-0.010622154779969651
1030,2023-04-27,Y,0.08679706601466992
2363,2023-04-27,ZN,0.03461178671655753
722,2023-04-28,A,0.06536964980544747
2901,2023-04-28,AG,-0.013089474627936167
2263,2023-04-28,AL,0.00487012987012987
825,2023-04-28,B,0.16527196652719664
3209,2023-04-28,BU,0.08407960199004975
1854,2023-04-28,C,0.04109090909090909
1546,2023-04-28,CF,0.017823163770138272
